v1,v2
0,Van a bajar?
0,No
0,Sube tu
0,Al de 5
0,Te vas a la med
0,firme ps
0,cd
0,Si no llegan al de 9 avisen pa irme a fusión nomas
0,No
0,Ah
0,Queriamos ir al de 8
0,Q esta arriba
0,Donde es p
0,En el arco
0,Oe
0,Dime
0,Que tanto me andas lokeando?
0,jajajajjajaja
0,Yaya perdón
0,"Nanana, q t han dicho ah"
0,Nada
0,Ajajajajaja por eso te pregunto ps
0,Bailamos un tok ps
0,Y yo no se bailar
0,yo tmpc
